timestamp,x,y,z,rssi_a,rssi_b,rssi_c,rssi_d
2026-06-06T14:04:43,4,5,-1.0,-51,-58,-61,-59
2026-06-06T14:04:46,4,5,-1.0,-67,-57,-51,-59
2026-06-06T14:04:48,4,5,-1.0,-51,-57,-51,-59
2026-06-06T14:04:51,4,5,-1.0,-63,-59,-58,-59
2026-06-06T14:04:53,4,5,-1.0,-52,-53,-54,-54
2026-06-06T14:05:08,5,5,-1.0,-62,-53,-54,-51
2026-06-06T14:05:11,5,5,-1.0,-49,-68,-39,-51
2026-06-06T14:05:13,5,5,-1.0,-61,-46,-39,-60
2026-06-06T14:05:16,5,5,-1.0,-55,-58,-39,-60
2026-06-06T14:05:18,5,5,-1.0,-53,-49,-39,-60
2026-06-06T14:05:31,6,5,-1.0,-52,-54,-40,-60
2026-06-06T14:05:34,6,5,-1.0,-52,-54,-40,-60
2026-06-06T14:05:36,6,5,-1.0,-68,-67,-60,-46
2026-06-06T14:05:39,6,5,-1.0,-55,-67,-50,-55
2026-06-06T14:05:41,6,5,-1.0,-55,-65,-50,-39
2026-06-06T14:05:56,7,5,-1.0,-55,-56,-57,-39
2026-06-06T14:05:59,7,5,-1.0,-55,-55,-49,-41
2026-06-06T14:06:01,7,5,-1.0,-56,-55,-49,-67
2026-06-06T14:06:04,7,5,-1.0,-56,-55,-49,-67
2026-06-06T14:06:06,7,5,-1.0,-61,-56,-49,-50
